"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.0087e-11,1,0,0.00195,0,5e-05
-2.0105e-11,1,1e-07,0.0019501,0,5e-05
-2.0123e-11,1,2e-07,0.0019502,0,5e-05
-2.0142e-11,1,3e-07,0.0019503,0,5e-05
-2.016e-11,1,4e-07,0.0019504,0,5e-05
-2.0179e-11,1,5e-07,0.0019505,0,5e-05
-2.0197e-11,1,6e-07,0.0019506,0,5e-05
-2.0216e-11,1,7.0001e-07,0.0019507,0,5e-05
-2.0234e-11,1,8.0001e-07,0.0019508,0,5e-05
-2.0253e-11,1,9.0001e-07,0.0019509,0,5e-05
-2.0271e-11,1,1e-06,0.001951,0,5e-05
-2.029e-11,1,1.1e-06,0.0019511,0,5e-05
-2.0308e-11,1,1.2e-06,0.0019512,0,5e-05
-2.0271e-11,1,1.3e-06,0.0019513,0,5e-05
-2.0179e-11,1,1.4e-06,0.0019514,0,5e-05
-2.0086e-11,1,1.5e-06,0.0019515,0,5e-05
-1.9994e-11,1,1.6e-06,0.0019516,0,5e-05
-1.9901e-11,1,1.7e-06,0.0019517,0,5e-05
-1.9809e-11,1,1.8e-06,0.0019518,0,5e-05
-1.9716e-11,1,1.9e-06,0.0019519,0,5e-05
-1.9623e-11,1,2e-06,0.001952,0,5e-05
-1.9531e-11,1,2.1e-06,0.0019521,0,5e-05
-1.9438e-11,1,2.2e-06,0.0019522,0,5e-05
-1.9346e-11,1,2.3e-06,0.0019523,0,5e-05
-1.9253e-11,1,2.4e-06,0.0019524,0,5e-05
-1.9161e-11,1,2.5e-06,0.0019525,0,5e-05
-1.8853e-11,1,2.6e-06,0.0019526,0,5e-05
-1.8545e-11,1,2.7e-06,0.0019527,0,5e-05
-1.8238e-11,1,2.8e-06,0.0019528,0,5e-05
-1.793e-11,1,2.9e-06,0.0019529,0,5e-05
-1.7623e-11,1,3e-06,0.001953,0,5e-05
-1.7315e-11,1,3.1e-06,0.0019531,0,5e-05
-1.7007e-11,1,3.2e-06,0.0019532,0,5e-05
-1.6699e-11,1,3.3001e-06,0.0019533,0,5e-05
-1.6392e-11,1,3.4e-06,0.0019534,0,5e-05
-1.6084e-11,1,3.5001e-06,0.0019535,0,5e-05
-1.5777e-11,1,3.6e-06,0.0019536,0,5e-05
-1.5469e-11,1,3.7001e-06,0.0019537,0,5e-05
-1.5101e-11,1,3.8e-06,0.0019538,0,5e-05
-1.4672e-11,1,3.9001e-06,0.0019539,0,5e-05
-1.4243e-11,1,4e-06,0.001954,0,5e-05
-1.3814e-11,1,4.1001e-06,0.0019541,0,5e-05
-1.3386e-11,1,4.2e-06,0.0019542,0,5e-05
-1.2956e-11,1,4.3001e-06,0.0019543,0,5e-05
-1.2528e-11,1,4.4e-06,0.0019544,0,5e-05
-1.2098e-11,1,4.5002e-06,0.0019545,0,5e-05
-1.167e-11,1,4.6e-06,0.0019546,0,5e-05
-1.1241e-11,1,4.7002e-06,0.0019547,0,5e-05
-1.0812e-11,1,4.8e-06,0.0019548,0,5e-05
-1.0383e-11,1,4.9002e-06,0.0019549,0,5e-05
-9.9545e-12,1,5e-06,0.001955,0,5e-05
-9.4963e-12,1,5.1002e-06,0.0019551,0,5e-05
-9.0391e-12,1,5.2e-06,0.0019552,0,5e-05
-8.5809e-12,1,5.3002e-06,0.0019553,0,5e-05
-8.1238e-12,1,5.4e-06,0.0019554,0,5e-05
-7.6655e-12,1,5.5002e-06,0.0019555,0,5e-05
-7.2084e-12,1,5.6e-06,0.0019556,0,5e-05
-6.7502e-12,1,5.7002e-06,0.0019557,0,5e-05
-6.293e-12,1,5.8e-06,0.0019558,0,5e-05
-5.8348e-12,1,5.9002e-06,0.0019559,0,5e-05
-5.3777e-12,1,6e-06,0.001956,0,5e-05
-4.9195e-12,1,6.1002e-06,0.0019561,0,5e-05
-4.4623e-12,1,6.2e-06,0.0019562,0,5e-05
-4.0295e-12,1,6.3002e-06,0.0019563,0,5e-05
-3.623e-12,1,6.4e-06,0.0019564,0,5e-05
-3.2156e-12,1,6.5002e-06,0.0019565,0,5e-05
-2.8091e-12,1,6.6001e-06,0.0019566,0,5e-05
-2.4017e-12,1,6.7002e-06,0.0019567,0,5e-05
-1.9952e-12,1,6.8001e-06,0.0019568,0,5e-05
-1.5877e-12,1,6.9002e-06,0.0019569,0,5e-05
-1.1813e-12,1,7.0001e-06,0.001957,0,5e-05
-7.7478e-13,1,7.0999e-06,0.0019571,0,5e-05
-3.6735e-13,1,7.2001e-06,0.0019572,0,5e-05
3.9128e-14,1,7.2999e-06,0.0019573,0,5e-05
4.4656e-13,1,7.4001e-06,0.0019574,0,5e-05
8.5304e-13,1,7.4999e-06,0.0019575,0,5e-05
1.151e-12,1,7.6001e-06,0.0019576,0,5e-05
1.4483e-12,1,7.6999e-06,0.0019577,0,5e-05
1.7462e-12,1,7.8001e-06,0.0019578,0,5e-05
2.0435e-12,1,7.8999e-06,0.0019579,0,5e-05
2.3414e-12,1,8.0001e-06,0.001958,0,5e-05
2.6387e-12,1,8.0999e-06,0.0019581,0,5e-05
2.9367e-12,1,8.2001e-06,0.0019582,0,5e-05
3.2339e-12,1,8.2999e-06,0.0019583,0,5e-05
3.5319e-12,1,8.4001e-06,0.0019584,0,5e-05
3.8291e-12,1,8.4999e-06,0.0019585,0,5e-05
4.1271e-12,1,8.6001e-06,0.0019586,0,5e-05
4.4244e-12,1,8.6999e-06,0.0019587,0,5e-05
4.652e-12,1,8.8001e-06,0.0019588,0,5e-05
4.8089e-12,1,8.9e-06,0.0019589,0,5e-05
4.9662e-12,1,9.0001e-06,0.001959,0,5e-05
5.1232e-12,1,9.1e-06,0.0019591,0,5e-05
5.2805e-12,1,9.2001e-06,0.0019592,0,5e-05
5.4374e-12,1,9.3e-06,0.0019593,0,5e-05
5.5947e-12,1,9.4001e-06,0.0019594,0,5e-05
5.7516e-12,1,9.5e-06,0.0019595,0,5e-05
5.9089e-12,1,9.6001e-06,0.0019596,0,5e-05
6.0659e-12,1,9.7e-06,0.0019597,0,5e-05
6.2232e-12,1,9.8001e-06,0.0019598,0,5e-05
6.3801e-12,1,9.9e-06,0.0019599,0,5e-05
6.5374e-12,1,1e-05,0.00196,0,5e-05
6.5472e-12,1,1.01e-05,0.0019601,0,5e-05
6.5569e-12,1,1.02e-05,0.0019602,0,5e-05
6.5667e-12,1,1.03e-05,0.0019603,0,5e-05
6.5765e-12,1,1.04e-05,0.0019604,0,5e-05
6.5862e-12,1,1.05e-05,0.0019605,0,5e-05
6.596e-12,1,1.06e-05,0.0019606,0,5e-05
6.6058e-12,1,1.07e-05,0.0019607,0,5e-05
6.6155e-12,1,1.08e-05,0.0019608,0,5e-05
6.6253e-12,1,1.09e-05,0.0019609,0,5e-05
