"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.6659,1,0,0.0060353,0.0039646,5e-05
0.66591,1,9.944e-08,0.0060353,0.0039647,5e-05
0.66591,1,1.9954e-07,0.0060352,0.0039648,5e-05
0.66592,1,2.9964e-07,0.0060351,0.0039649,5e-05
0.66592,1,3.9974e-07,0.0060351,0.0039649,5e-05
0.66592,1,4.9984e-07,0.006035,0.003965,5e-05
0.66593,1,5.9993e-07,0.0060349,0.0039651,5e-05
0.66593,1,7.0003e-07,0.0060349,0.0039651,5e-05
0.66594,1,7.9947e-07,0.0060348,0.0039652,5e-05
0.66594,1,8.9957e-07,0.0060347,0.0039653,5e-05
0.66595,1,9.9967e-07,0.0060346,0.0039653,5e-05
0.66595,1,1.0998e-06,0.0060346,0.0039654,5e-05
0.66596,1,1.1999e-06,0.0060345,0.0039655,5e-05
0.66597,1,1.3e-06,0.0060344,0.0039656,5e-05
0.66599,1,1.3994e-06,0.0060344,0.0039656,5e-05
0.66602,1,1.4995e-06,0.0060343,0.0039657,5e-05
0.66604,1,1.5996e-06,0.0060342,0.0039658,5e-05
0.66606,1,1.6997e-06,0.0060341,0.0039658,5e-05
0.66608,1,1.7998e-06,0.0060341,0.0039659,5e-05
0.66611,1,1.8999e-06,0.006034,0.003966,5e-05
0.66613,1,2e-06,0.0060339,0.0039661,5e-05
0.66615,1,2.0994e-06,0.0060339,0.0039661,5e-05
0.66617,1,2.1995e-06,0.0060338,0.0039662,5e-05
0.6662,1,2.2996e-06,0.0060337,0.0039663,5e-05
0.66622,1,2.3997e-06,0.0060337,0.0039663,5e-05
0.66624,1,2.4998e-06,0.0060336,0.0039664,5e-05
0.6663,1,2.5999e-06,0.0060335,0.0039665,5e-05
0.66636,1,2.6994e-06,0.0060334,0.0039665,5e-05
0.66641,1,2.7995e-06,0.0060334,0.0039666,5e-05
0.66647,1,2.8996e-06,0.0060333,0.0039667,5e-05
0.66653,1,2.9997e-06,0.0060332,0.0039668,5e-05
0.66659,1,3.0998e-06,0.0060332,0.0039668,5e-05
0.66664,1,3.1999e-06,0.0060331,0.0039669,5e-05
0.6667,1,3.3e-06,0.006033,0.003967,5e-05
0.66676,1,3.3994e-06,0.0060329,0.003967,5e-05
0.66682,1,3.4995e-06,0.0060329,0.0039671,5e-05
0.66687,1,3.5996e-06,0.0060328,0.0039672,5e-05
0.66693,1,3.6997e-06,0.0060327,0.0039673,5e-05
0.66701,1,3.7998e-06,0.0060327,0.0039673,5e-05
0.66712,1,3.8999e-06,0.0060326,0.0039674,5e-05
0.66723,1,4e-06,0.0060325,0.0039675,5e-05
0.66734,1,4.0994e-06,0.0060325,0.0039675,5e-05
0.66745,1,4.1995e-06,0.0060324,0.0039676,5e-05
0.66756,1,4.2996e-06,0.0060323,0.0039677,5e-05
0.66767,1,4.3997e-06,0.0060322,0.0039678,5e-05
0.66777,1,4.4998e-06,0.0060322,0.0039678,5e-05
0.66788,1,4.5999e-06,0.0060321,0.0039679,5e-05
0.66799,1,4.6994e-06,0.006032,0.003968,5e-05
0.6681,1,4.7995e-06,0.006032,0.003968,5e-05
0.66821,1,4.8996e-06,0.0060319,0.0039681,5e-05
0.66832,1,4.9997e-06,0.0060318,0.0039682,5e-05
0.66849,1,5.0998e-06,0.0060317,0.0039682,5e-05
0.66867,1,5.1999e-06,0.0060317,0.0039683,5e-05
0.66885,1,5.3e-06,0.0060316,0.0039684,5e-05
0.66902,1,5.3994e-06,0.0060315,0.0039685,5e-05
0.6692,1,5.4995e-06,0.0060315,0.0039685,5e-05
0.66937,1,5.5996e-06,0.0060314,0.0039686,5e-05
0.66955,1,5.6997e-06,0.0060313,0.0039687,5e-05
0.66972,1,5.7998e-06,0.0060312,0.0039687,5e-05
0.6699,1,5.8999e-06,0.0060312,0.0039688,5e-05
0.67007,1,5.9993e-06,0.0060311,0.0039689,5e-05
0.67025,1,6.0994e-06,0.006031,0.003969,5e-05
0.67043,1,6.1995e-06,0.006031,0.003969,5e-05
0.67064,1,6.2996e-06,0.0060309,0.0039691,5e-05
0.6709,1,6.3997e-06,0.0060308,0.0039692,5e-05
