"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0002657,1,0,0.00195,0,5e-05
0.00026572,1,1e-07,0.0019501,0,5e-05
0.00026574,1,2e-07,0.0019502,0,5e-05
0.00026576,1,3e-07,0.0019503,0,5e-05
0.00026578,1,4e-07,0.0019504,0,5e-05
0.00026581,1,5e-07,0.0019505,0,5e-05
0.00026583,1,6e-07,0.0019506,0,5e-05
0.00026585,1,7.0001e-07,0.0019507,0,5e-05
0.00026587,1,8.0001e-07,0.0019508,0,5e-05
0.00026589,1,9.0001e-07,0.0019509,0,5e-05
0.00026592,1,1e-06,0.001951,0,5e-05
0.00026594,1,1.1e-06,0.0019511,0,5e-05
0.00026596,1,1.2e-06,0.0019512,0,5e-05
0.00026602,1,1.3e-06,0.0019513,0,5e-05
0.00026611,1,1.4e-06,0.0019514,0,5e-05
0.00026621,1,1.5e-06,0.0019515,0,5e-05
0.0002663,1,1.6e-06,0.0019516,0,5e-05
0.0002664,1,1.7e-06,0.0019517,0,5e-05
0.00026649,1,1.8e-06,0.0019518,0,5e-05
0.00026659,1,1.9e-06,0.0019519,0,5e-05
0.00026668,1,2e-06,0.001952,0,5e-05
0.00026678,1,2.1e-06,0.0019521,0,5e-05
0.00026687,1,2.2e-06,0.0019522,0,5e-05
0.00026697,1,2.3e-06,0.0019523,0,5e-05
0.00026706,1,2.4e-06,0.0019524,0,5e-05
0.00026716,1,2.5e-06,0.0019525,0,5e-05
0.00026739,1,2.6e-06,0.0019526,0,5e-05
0.00026761,1,2.7e-06,0.0019527,0,5e-05
0.00026784,1,2.8e-06,0.0019528,0,5e-05
0.00026807,1,2.9e-06,0.0019529,0,5e-05
0.0002683,1,3e-06,0.001953,0,5e-05
0.00026853,1,3.1e-06,0.0019531,0,5e-05
0.00026876,1,3.2e-06,0.0019532,0,5e-05
0.00026899,1,3.3001e-06,0.0019533,0,5e-05
0.00026922,1,3.4e-06,0.0019534,0,5e-05
0.00026945,1,3.5001e-06,0.0019535,0,5e-05
0.00026968,1,3.6e-06,0.0019536,0,5e-05
0.00026991,1,3.7001e-06,0.0019537,0,5e-05
0.00027024,1,3.8e-06,0.0019538,0,5e-05
0.00027068,1,3.9001e-06,0.0019539,0,5e-05
0.00027111,1,4e-06,0.001954,0,5e-05
0.00027154,1,4.1001e-06,0.0019541,0,5e-05
0.00027198,1,4.2e-06,0.0019542,0,5e-05
0.00027241,1,4.3001e-06,0.0019543,0,5e-05
0.00027284,1,4.4e-06,0.0019544,0,5e-05
0.00027327,1,4.5002e-06,0.0019545,0,5e-05
0.00027371,1,4.6e-06,0.0019546,0,5e-05
0.00027414,1,4.7002e-06,0.0019547,0,5e-05
0.00027457,1,4.8e-06,0.0019548,0,5e-05
0.00027501,1,4.9002e-06,0.0019549,0,5e-05
0.00027544,1,5e-06,0.001955,0,5e-05
0.00027615,1,5.1002e-06,0.0019551,0,5e-05
0.00027685,1,5.2e-06,0.0019552,0,5e-05
0.00027756,1,5.3002e-06,0.0019553,0,5e-05
0.00027827,1,5.4e-06,0.0019554,0,5e-05
0.00027897,1,5.5002e-06,0.0019555,0,5e-05
0.00027968,1,5.6e-06,0.0019556,0,5e-05
0.00028039,1,5.7002e-06,0.0019557,0,5e-05
0.00028109,1,5.8e-06,0.0019558,0,5e-05
0.0002818,1,5.9002e-06,0.0019559,0,5e-05
0.0002825,1,6e-06,0.001956,0,5e-05
0.00028321,1,6.1002e-06,0.0019561,0,5e-05
0.00028392,1,6.2e-06,0.0019562,0,5e-05
0.0002848,1,6.3002e-06,0.0019563,0,5e-05
0.00028585,1,6.4e-06,0.0019564,0,5e-05
0.0002869,1,6.5002e-06,0.0019565,0,5e-05
0.00028796,1,6.6001e-06,0.0019566,0,5e-05
0.00028901,1,6.7002e-06,0.0019567,0,5e-05
0.00029006,1,6.8001e-06,0.0019568,0,5e-05
0.00029112,1,6.9002e-06,0.0019569,0,5e-05
0.00029217,1,7.0001e-06,0.001957,0,5e-05
0.00029322,1,7.0999e-06,0.0019571,0,5e-05
0.00029427,1,7.2001e-06,0.0019572,0,5e-05
0.00029532,1,7.2999e-06,0.0019573,0,5e-05
0.00029638,1,7.4001e-06,0.0019574,0,5e-05
0.00029743,1,7.4999e-06,0.0019575,0,5e-05
0.00029891,1,7.6001e-06,0.0019576,0,5e-05
0.00030038,1,7.6999e-06,0.0019577,0,5e-05
0.00030186,1,7.8001e-06,0.0019578,0,5e-05
0.00030333,1,7.8999e-06,0.0019579,0,5e-05
0.00030481,1,8.0001e-06,0.001958,0,5e-05
0.00030629,1,8.0999e-06,0.0019581,0,5e-05
0.00030776,1,8.2001e-06,0.0019582,0,5e-05
0.00030924,1,8.2999e-06,0.0019583,0,5e-05
0.00031072,1,8.4001e-06,0.0019584,0,5e-05
0.00031219,1,8.4999e-06,0.0019585,0,5e-05
0.00031367,1,8.6001e-06,0.0019586,0,5e-05
0.00031514,1,8.6999e-06,0.0019587,0,5e-05
0.00031688,1,8.8001e-06,0.0019588,0,5e-05
0.00031886,1,8.9e-06,0.0019589,0,5e-05
0.00032085,1,9.0001e-06,0.001959,0,5e-05
0.00032283,1,9.1e-06,0.0019591,0,5e-05
