x,f(x)
0.144,0.5023
0.145,0.5023
0.146,0.5023
0.147,0.5023
0.148,0.5023
0.149,0.5023
0.15,0.5023
0.151,0.5023
0.152,0.5023
0.153,0.5023
0.154,0.5023
0.155,0.5023
0.156,0.5023
0.157,0.5023
0.158,0.5023
0.159,0.5023
0.16,0.5023
0.161,0.5023
0.162,0.5023
0.163,0.5023
0.164,0.5023
0.165,0.5023
0.166,0.5023
0.167,0.5023
0.168,0.5023
0.169,0.5023
0.17,0.5023
0.171,0.5023
0.172,0.5023
0.173,0.5023
0.174,0.5023
0.175,0.5023
0.176,0.5023
0.177,0.5023
0.178,0.5023
0.179,0.5023
0.18,0.5023
0.181,0.5023
0.182,0.5023
0.183,0.5023
0.184,0.5023
0.185,0.5023
0.186,0.5023
0.187,0.5024
0.188,0.5024
0.189,0.5024
0.19,0.5024
0.191,0.5024
0.192,0.5024
0.193,0.5024
0.194,0.5024
0.195,0.5024
0.196,0.5024
0.197,0.5024
0.198,0.5024
0.199,0.5024
0.2,0.5024
0.201,0.5024
0.202,0.5024
0.203,0.5024
0.204,0.5024
0.205,0.5024
0.206,0.5024
0.207,0.5024
0.208,0.5024
0.209,0.5024
0.21,0.5024
0.211,0.5024
0.212,0.5024
0.213,0.5024
0.214,0.5024
0.215,0.5024
0.216,0.5024
0.217,0.5024
0.218,0.5024
0.219,0.5024
0.22,0.5024
0.221,0.5024
0.222,0.5024
0.223,0.5024
0.224,0.5024
0.225,0.5024
0.226,0.5024
0.227,0.5024
0.228,0.5024
0.229,0.5024
0.23,0.5024
0.231,0.5024
0.232,0.5024
0.233,0.5024
0.234,0.5024
0.235,0.5024
0.236,0.5024
0.237,0.5024
0.238,0.5024
0.239,0.5024
0.24,0.5024
0.241,0.5024
0.242,0.5024
0.243,0.5024
0.244,0.5024
0.245,0.5024
0.246,0.5024
0.247,0.5024
0.248,0.5024
0.249,0.5024
0.25,0.5024
0.251,0.5024
0.252,0.5024
0.253,0.5024
0.254,0.5024
0.255,0.5024
0.256,0.5024
0.257,0.5024
0.258,0.5024
0.259,0.5024
0.26,0.5024
0.261,0.5024
0.262,0.5024
0.263,0.5025
0.264,0.5025
0.265,0.5025
0.266,0.5025
0.267,0.5025
0.268,0.5025
0.269,0.5025
0.27,0.5025
0.271,0.5025
0.272,0.5025
0.273,0.5025
0.274,0.5025
0.275,0.5025
0.276,0.5025
0.277,0.5025
0.278,0.5025
0.279,0.5025
0.28,0.5025
0.281,0.5025
0.282,0.5025
0.283,0.5025
0.284,0.5025
0.285,0.5025
0.286,0.5025
0.287,0.5025
0.288,0.5025
0.289,0.5025
0.29,0.5025
0.291,0.5025
0.292,0.5025
0.293,0.5025
0.294,0.5025
0.295,0.5025
0.296,0.5025
0.297,0.5025
0.298,0.5025
0.299,0.5025
0.3,0.5025
0.301,0.5025
0.302,0.5025
0.303,0.5025
0.304,0.5025
0.305,0.5025
0.306,0.5025
0.307,0.5025
0.308,0.5025
0.309,0.5025
0.31,0.5025
0.311,0.5025
0.312,0.5025
0.313,0.5025
0.314,0.5025
0.315,0.5025
0.316,0.5025
0.317,0.5025
0.318,0.5025
0.319,0.5025
0.32,0.5025
0.321,0.5025
0.322,0.5025
0.323,0.5025
0.324,0.5025
0.325,0.5026
0.326,0.5026
0.327,0.5026
0.328,0.5026
0.329,0.5026
0.33,0.5026
0.331,0.5026
0.332,0.5026
0.333,0.5026
0.334,0.5026
0.335,0.5026
0.336,0.5026
0.337,0.5026
0.338,0.5026
0.339,0.5026
0.34,0.5026
0.341,0.5026
0.342,0.5026
0.343,0.5026
0.344,0.5026
0.345,0.5026
0.346,0.5026
0.347,0.5026
0.348,0.5026
0.349,0.5026
0.35,0.5026
0.351,0.5026
0.352,0.5026
0.353,0.5026
0.354,0.5026
0.355,0.5026
0.356,0.5026
0.357,0.5026
0.358,0.5026
0.359,0.5026
0.36,0.5026
0.361,0.5026
0.362,0.5026
0.363,0.5026
0.364,0.5026
0.365,0.5026
0.366,0.5026
0.367,0.5026
0.368,0.5026
0.369,0.5026
0.37,0.5026
0.371,0.5026
0.372,0.5026
0.373,0.5026
0.374,0.5026
0.375,0.5026
0.376,0.5026
0.377,0.5026
0.378,0.5026
0.379,0.5026
0.38,0.5027
0.381,0.5027
0.382,0.5027
0.383,0.5027
0.384,0.5027
0.385,0.5027
0.386,0.5027
0.387,0.5027
0.388,0.5027
0.389,0.5027
0.39,0.5027
0.391,0.5027
0.392,0.5027
0.393,0.5027
0.394,0.5027
0.395,0.5027
0.396,0.5027
0.397,0.5027
0.398,0.5027
0.399,0.5027
0.4,0.5027
0.401,0.5027
0.402,0.5027
0.403,0.5027
0.404,0.5027
0.405,0.5027
0.406,0.5027
0.407,0.5027
0.408,0.5027
0.409,0.5027
0.41,0.5027
0.411,0.5027
0.412,0.5027
0.413,0.5027
0.414,0.5027
0.415,0.5027
0.416,0.5027
0.417,0.5027
0.418,0.5027
0.419,0.5027
0.42,0.5027
0.421,0.5027
0.422,0.5027
0.423,0.5027
0.424,0.5027
0.425,0.5027
0.426,0.5027
0.427,0.5027
0.428,0.5027
0.429,0.5027
0.43,0.5027
0.431,0.5027
0.432,0.5028
0.433,0.5028
0.434,0.5028
0.435,0.5028
0.436,0.5028
0.437,0.5028
0.438,0.5028
0.439,0.5028
0.44,0.5028
0.441,0.5028
0.442,0.5028
0.443,0.5028
0.444,0.5028
0.445,0.5028
0.446,0.5028
0.447,0.5028
0.448,0.5028
0.449,0.5028
0.45,0.5028
0.451,0.5028
0.452,0.5028
0.453,0.5028
0.454,0.5028
0.455,0.5028
0.456,0.5028
0.457,0.5028
0.458,0.5028
0.459,0.5028
0.46,0.5028
0.461,0.5028
0.462,0.5028
0.463,0.5028
0.464,0.5028
0.465,0.5028
0.466,0.5028
0.467,0.5028
0.468,0.5028
0.469,0.5028
0.47,0.5028
0.471,0.5028
0.472,0.5028
0.473,0.5028
0.474,0.5028
0.475,0.5028
0.476,0.5028
0.477,0.5028
0.478,0.5028
0.479,0.5028
0.48,0.5028
0.481,0.5028
0.482,0.5028
0.483,0.5029
0.484,0.5029
0.485,0.5029
0.486,0.5029
0.487,0.5029
0.488,0.5029
0.489,0.5029
0.49,0.5029
0.491,0.5029
0.492,0.5029
0.493,0.5029
0.494,0.5029
0.495,0.5029
0.496,0.5029
0.497,0.5029
0.498,0.5029
0.499,0.5029
0.5,0.5029
0.501,0.5029
0.502,0.5029
0.503,0.5029
0.504,0.5029
0.505,0.5029
0.506,0.5029
0.507,0.5029
0.508,0.5029
0.509,0.5029
0.51,0.5029
0.511,0.5029
0.512,0.5029
0.513,0.5029
0.514,0.5029
0.515,0.5029
0.516,0.5029
0.517,0.5029
0.518,0.5029
0.519,0.5029
0.52,0.5029
0.521,0.5029
0.522,0.5029
0.523,0.5029
0.524,0.5029
0.525,0.5029
0.526,0.5029
0.527,0.5029
0.528,0.5029
0.529,0.5029
0.53,0.5029
0.531,0.5029
0.532,0.5029
0.533,0.503
0.534,0.503
0.535,0.503
0.536,0.503
0.537,0.503
0.538,0.503
0.539,0.503
0.54,0.503
0.541,0.503
0.542,0.503
0.543,0.503
0.544,0.503
0.545,0.503
0.546,0.503
0.547,0.503
0.548,0.503
0.549,0.503
0.55,0.503
0.551,0.503
0.552,0.503
0.553,0.503
0.554,0.503
0.555,0.503
0.556,0.503
0.557,0.503
0.558,0.503
0.559,0.503
0.56,0.503
0.561,0.503
0.562,0.503
0.563,0.503
0.564,0.503
0.565,0.503
0.566,0.503
0.567,0.503
0.568,0.503
0.569,0.503
0.57,0.503
0.571,0.503
0.572,0.503
0.573,0.503
0.574,0.503
0.575,0.503
0.576,0.503
0.577,0.503
0.578,0.503
0.579,0.503
0.58,0.503
0.581,0.503
0.582,0.503
0.583,0.503
0.584,0.5031
0.585,0.5031
0.586,0.5031
0.587,0.5031
0.588,0.5031
0.589,0.5031
0.59,0.5031
0.591,0.5031
0.592,0.5031
0.593,0.5031
0.594,0.5031
0.595,0.5031
0.596,0.5031
0.597,0.5031
0.598,0.5031
0.599,0.5031
0.6,0.5031
0.601,0.5031
0.602,0.5031
0.603,0.5031
0.604,0.5031
0.605,0.5031
0.606,0.5031
0.607,0.5031
0.608,0.5031
0.609,0.5031
0.61,0.5031
0.611,0.5031
0.612,0.5031
0.613,0.5031
0.614,0.5031
0.615,0.5031
0.616,0.5031
0.617,0.5031
0.618,0.5031
0.619,0.5031
0.62,0.5031
0.621,0.5031
0.622,0.5031
0.623,0.5031
0.624,0.5031
0.625,0.5031
0.626,0.5031
0.627,0.5031
0.628,0.5031
0.629,0.5031
0.63,0.5031
0.631,0.5031
0.632,0.5031
0.633,0.5031
0.634,0.5031
0.635,0.5031
0.636,0.5031
0.637,0.5031
0.638,0.5032
0.639,0.5032
0.64,0.5032
0.641,0.5032
0.642,0.5032
0.643,0.5032
0.644,0.5032
0.645,0.5032
0.646,0.5032
0.647,0.5032
0.648,0.5032
0.649,0.5032
0.65,0.5032
0.651,0.5032
0.652,0.5032
0.653,0.5032
0.654,0.5032
0.655,0.5032
0.656,0.5032
0.657,0.5032
0.658,0.5032
0.659,0.5032
0.66,0.5032
0.661,0.5032
0.662,0.5032
0.663,0.5032
0.664,0.5032
0.665,0.5032
0.666,0.5032
0.667,0.5032
0.668,0.5032
0.669,0.5032
0.67,0.5032
0.671,0.5032
0.672,0.5032
0.673,0.5032
0.674,0.5032
0.675,0.5032
0.676,0.5032
0.677,0.5032
0.678,0.5032
0.679,0.5032
0.68,0.5032
0.681,0.5032
0.682,0.5032
0.683,0.5032
0.684,0.5032
0.685,0.5032
0.686,0.5032
0.687,0.5032
0.688,0.5032
0.689,0.5032
0.69,0.5032
0.691,0.5032
0.692,0.5032
0.693,0.5032
0.694,0.5032
0.695,0.5032
0.696,0.5032
0.697,0.5033
0.698,0.5033
0.699,0.5033
0.7,0.5033
0.701,0.5033
0.702,0.5033
0.703,0.5033
0.704,0.5033
0.705,0.5033
0.706,0.5033
0.707,0.5033
0.708,0.5033
0.709,0.5033
0.71,0.5033
0.711,0.5033
0.712,0.5033
0.713,0.5033
0.714,0.5033
0.715,0.5033
0.716,0.5033
0.717,0.5033
0.718,0.5033
0.719,0.5033
0.72,0.5033
0.721,0.5033
0.722,0.5033
0.723,0.5033
0.724,0.5033
0.725,0.5033
0.726,0.5033
0.727,0.5033
0.728,0.5033
0.729,0.5033
0.73,0.5033
0.731,0.5033
0.732,0.5033
0.733,0.5033
0.734,0.5033
0.735,0.5033
0.736,0.5033
0.737,0.5033
0.738,0.5033
0.739,0.5033
0.74,0.5033
0.741,0.5033
0.742,0.5033
0.743,0.5033
0.744,0.5033
0.745,0.5033
0.746,0.5033
0.747,0.5033
0.748,0.5033
0.749,0.5033
0.75,0.5033
0.751,0.5033
0.752,0.5033
0.753,0.5033
0.754,0.5033
0.755,0.5033
0.756,0.5033
0.757,0.5033
0.758,0.5033
0.759,0.5033
0.76,0.5033
0.761,0.5033
0.762,0.5033
0.763,0.5033
0.764,0.5033
0.765,0.5034
0.766,0.5034
0.767,0.5034
0.768,0.5034
0.769,0.5034
0.77,0.5034
0.771,0.5034
0.772,0.5034
0.773,0.5034
0.774,0.5034
0.775,0.5034
0.776,0.5034
0.777,0.5034
0.778,0.5034
0.779,0.5034
0.78,0.5034
0.781,0.5034
0.782,0.5034
0.783,0.5034
0.784,0.5034
0.785,0.5034
0.786,0.5034
0.787,0.5034
0.788,0.5034
0.789,0.5034
0.79,0.5034
0.791,0.5034
0.792,0.5034
0.793,0.5034
0.794,0.5034
0.795,0.5034
0.796,0.5034
0.797,0.5034
0.798,0.5034
0.799,0.5034
0.8,0.5034
0.801,0.5034
0.802,0.5034
0.803,0.5034
0.804,0.5034
0.805,0.5034
0.806,0.5034
0.807,0.5034
0.808,0.5034
0.809,0.5034
0.81,0.5034
0.811,0.5034
0.812,0.5034
0.813,0.5034
0.814,0.5034
0.815,0.5034
0.816,0.5034
0.817,0.5034
0.818,0.5034
0.819,0.5034
0.82,0.5034
0.821,0.5034
0.822,0.5034
0.823,0.5034
0.824,0.5034
0.825,0.5034
0.826,0.5034
0.827,0.5034
0.828,0.5034
0.829,0.5034
0.83,0.5034
0.831,0.5034
0.832,0.5034
0.833,0.5034
0.834,0.5034
0.835,0.5034
0.836,0.5034
0.837,0.5034
0.838,0.5034
0.839,0.5034
0.84,0.5034
0.841,0.5034
0.842,0.5034
0.843,0.5034
0.844,0.5034
0.845,0.5034
0.846,0.5034
0.847,0.5034
0.848,0.5034
0.849,0.5034
0.85,0.5034
0.851,0.5034
0.852,0.5034
0.853,0.5034
0.854,0.5034
0.855,0.5034
0.856,0.5034
0.857,0.5035
0.858,0.5035
0.859,0.5035
0.86,0.5035
0.861,0.5035
0.862,0.5035
0.863,0.5035
0.864,0.5035
0.865,0.5035
0.866,0.5035
0.867,0.5035
0.868,0.5035
0.869,0.5035
0.87,0.5035
0.871,0.5035
0.872,0.5035
0.873,0.5035
0.874,0.5035
0.875,0.5035
0.876,0.5035
0.877,0.5035
0.878,0.5035
0.879,0.5035
0.88,0.5035
0.881,0.5035
0.882,0.5035
0.883,0.5035
0.884,0.5035
0.885,0.5035
0.886,0.5035
0.887,0.5035
0.888,0.5035
0.889,0.5035
0.89,0.5035
0.891,0.5035
0.892,0.5035
0.893,0.5035
0.894,0.5035
0.895,0.5035
0.896,0.5035
0.897,0.5035
0.898,0.5035
0.899,0.5035
0.9,0.5035
0.901,0.5035
0.902,0.5035
0.903,0.5035
0.904,0.5035
0.905,0.5035
0.906,0.5035
0.907,0.5035
0.908,0.5035
0.909,0.5035
0.91,0.5035
0.911,0.5035
0.912,0.5035
0.913,0.5035
0.914,0.5035
0.915,0.5035
0.916,0.5035
0.917,0.5035
0.918,0.5035
0.919,0.5035
0.92,0.5035
0.921,0.5035
0.922,0.5035
0.923,0.5035
0.924,0.5035
0.925,0.5035
0.926,0.5035
0.927,0.5035
0.928,0.5035
0.929,0.5035
0.93,0.5035
0.931,0.5035
0.932,0.5035
0.933,0.5035
0.934,0.5035
0.935,0.5035
0.936,0.5035
0.937,0.5035
0.938,0.5035
0.939,0.5035
0.94,0.5035
0.941,0.5035
0.942,0.5035
0.943,0.5035
0.944,0.5035
0.945,0.5035
0.946,0.5035
0.947,0.5035
0.948,0.5035
0.949,0.5035
0.95,0.5035
0.951,0.5035
0.952,0.5035
0.953,0.5035
0.954,0.5035
0.955,0.5035
0.956,0.5035
0.957,0.5035
0.958,0.5035
0.959,0.5035
0.96,0.5035
0.961,0.5035
0.962,0.5035
0.963,0.5035
0.964,0.5035
0.965,0.5035
0.966,0.5035
0.967,0.5035
0.968,0.5035
0.969,0.5035
0.97,0.5035
0.971,0.5035
0.972,0.5035
0.973,0.5035
0.974,0.5035
0.975,0.5035
0.976,0.5035
0.977,0.5035
0.978,0.5035
0.979,0.5035
0.98,0.5035
0.981,0.5035
0.982,0.5035
0.983,0.5035
0.984,0.5035
0.985,0.5035
0.986,0.5035
0.987,0.5035
0.988,0.5035
0.989,0.5035
0.99,0.5035
0.991,0.5035
0.992,0.5035
0.993,0.5035
0.994,0.5035
0.995,0.5035
0.996,0.5035
0.997,0.5035
0.998,0.5035
0.999,0.5035
1,0.5035
