"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0.0040447,0.0039776,5e-05
0.68171,1,9.996e-08,0.0040446,0.0039777,5e-05
0.68171,1,1.9992e-07,0.0040445,0.0039777,5e-05
0.68171,1,3.0009e-07,0.0040445,0.0039778,5e-05
0.68172,1,4.0005e-07,0.0040444,0.0039778,5e-05
0.68172,1,5.0001e-07,0.0040443,0.0039779,5e-05
0.68172,1,5.9997e-07,0.0040442,0.0039779,5e-05
0.68172,1,7.0035e-07,0.0040441,0.0039779,5e-05
0.68172,1,8.0031e-07,0.004044,0.003978,5e-05
0.68172,1,9.0027e-07,0.0040439,0.003978,5e-05
0.68172,1,1.0002e-06,0.0040438,0.0039781,5e-05
0.68172,1,1.1002e-06,0.0040437,0.0039781,5e-05
0.68172,1,1.2001e-06,0.0040436,0.0039782,5e-05
0.68172,1,1.3001e-06,0.0040436,0.0039782,5e-05
0.68172,1,1.4001e-06,0.0040435,0.0039783,5e-05
0.68173,1,1.5e-06,0.0040434,0.0039783,5e-05
0.68173,1,1.6e-06,0.0040433,0.0039783,5e-05
0.68173,1,1.7004e-06,0.0040432,0.0039784,5e-05
0.68173,1,1.8003e-06,0.0040431,0.0039784,5e-05
0.68173,1,1.9003e-06,0.004043,0.0039785,5e-05
0.68174,1,2.0005e-06,0.0040429,0.0039785,5e-05
0.68174,1,2.1004e-06,0.0040428,0.0039786,5e-05
0.68174,1,2.2004e-06,0.0040428,0.0039786,5e-05
0.68174,1,2.3003e-06,0.0040427,0.0039787,5e-05
0.68175,1,2.4003e-06,0.0040426,0.0039787,5e-05
0.68175,1,2.5003e-06,0.0040425,0.0039787,5e-05
0.68175,1,2.6002e-06,0.0040424,0.0039788,5e-05
0.68176,1,2.7002e-06,0.0040423,0.0039788,5e-05
0.68176,1,2.8005e-06,0.0040422,0.0039789,5e-05
0.68176,1,2.9005e-06,0.0040421,0.0039789,5e-05
0.68177,1,3.0005e-06,0.004042,0.003979,5e-05
0.68177,1,3.1004e-06,0.0040419,0.003979,5e-05
0.68178,1,3.2004e-06,0.0040419,0.0039791,5e-05
0.68178,1,3.3003e-06,0.0040418,0.0039791,5e-05
0.68178,1,3.4003e-06,0.0040417,0.0039792,5e-05
0.68179,1,3.5003e-06,0.0040416,0.0039792,5e-05
0.68179,1,3.6002e-06,0.0040415,0.0039792,5e-05
0.6818,1,3.7002e-06,0.0040414,0.0039793,5e-05
0.6818,1,3.8004e-06,0.0040413,0.0039793,5e-05
0.68181,1,3.9007e-06,0.0040412,0.0039794,5e-05
0.68182,1,4.0007e-06,0.0040411,0.0039794,5e-05
0.68182,1,4.1007e-06,0.0040411,0.0039795,5e-05
0.68183,1,4.2006e-06,0.004041,0.0039795,5e-05
0.68184,1,4.3006e-06,0.0040409,0.0039796,5e-05
0.68184,1,4.4005e-06,0.0040408,0.0039796,5e-05
0.68185,1,4.5005e-06,0.0040407,0.0039796,5e-05
