"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,0,0,0.004,0.0019293,5e-05
0.010966,1,9.977e-08,0.0040001,0.0019294,5e-05
0.010967,1,1.9979e-07,0.0040001,0.0019294,5e-05
0.010967,1,2.9989e-07,0.0040002,0.0019295,5e-05
0.010967,1,3.999e-07,0.0040003,0.0019296,5e-05
0.010967,1,4.9992e-07,0.0040004,0.0019296,5e-05
0.010967,1,6.0002e-07,0.0040004,0.0019297,5e-05
0.010968,1,7.0003e-07,0.0040005,0.0019298,5e-05
0.010968,1,7.998e-07,0.0040006,0.0019299,5e-05
0.010968,1,8.9982e-07,0.0040006,0.0019299,5e-05
0.010968,1,9.9984e-07,0.0040007,0.00193,5e-05
0.010968,1,1.0999e-06,0.0040008,0.0019301,5e-05
0.010969,1,1.2e-06,0.0040008,0.0019301,5e-05
0.010969,1,1.3001e-06,0.0040009,0.0019302,5e-05
0.01097,1,1.3997e-06,0.004001,0.0019303,5e-05
0.010971,1,1.4998e-06,0.0040011,0.0019303,5e-05
0.010972,1,1.5999e-06,0.0040011,0.0019304,5e-05
0.010973,1,1.6999e-06,0.0040012,0.0019305,5e-05
0.010974,1,1.8e-06,0.0040013,0.0019306,5e-05
0.010975,1,1.9e-06,0.0040013,0.0019306,5e-05
0.010976,1,2e-06,0.0040014,0.0019307,5e-05
0.010977,1,2.0998e-06,0.0040015,0.0019308,5e-05
0.010978,1,2.1998e-06,0.0040016,0.0019308,5e-05
0.010979,1,2.2999e-06,0.0040016,0.0019309,5e-05
0.01098,1,2.3999e-06,0.0040017,0.001931,5e-05
0.010981,1,2.4999e-06,0.0040018,0.0019311,5e-05
0.010983,1,2.6e-06,0.0040018,0.0019311,5e-05
0.010986,1,2.7e-06,0.0040019,0.0019312,5e-05
0.010988,1,2.7998e-06,0.004002,0.0019313,5e-05
0.010991,1,2.8998e-06,0.0040021,0.0019313,5e-05
0.010994,1,2.9998e-06,0.0040021,0.0019314,5e-05
0.010996,1,3.0999e-06,0.0040022,0.0019315,5e-05
